ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-5, B1,SHT-TNOR-SO-ZONE2,206547.573346,59672.807265,206547.573346,57667.313623,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,243707.143592,127932.246605,243707.143592,126773.834391,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,243857.143592,128082.246605,243857.143592,126773.834391,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,243557.143592,127782.246605,243557.143592,126773.834391,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,241991.950667,116057.129173,241991.950667,115558.519645,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,242141.950667,116207.129173,242141.950667,115558.519645,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,239944.381492,116207.129173,242141.950667,116207.129173,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,240094.381492,116057.129173,241991.950667,116057.129173,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,240244.381492,115907.129173,241841.950667,115907.129173,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,239944.381492,111044.954993,239944.381492,115207.693024,25,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,239944.381492,115207.693024,239944.381492,116207.129173,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,240094.381492,110894.954993,240094.381492,115057.693024,25,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,240094.381492,115057.693024,240094.381492,116057.129173,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,240244.381492,110744.954993,240244.381492,114907.693024,25,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,240244.381492,114907.693024,240244.381492,115907.129173,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,240094.381492,115057.693024,240926.682073,115057.693024,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,239944.381492,115207.693024,240926.682073,115207.693024,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,240244.381492,114907.693024,240926.682073,114907.693024,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,248048.808454,95491.759782,248048.808454,96430.127448,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,247898.808454,95641.759782,247898.808454,96280.127448,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,248198.808454,95341.759782,248198.808454,96580.127448,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245826.682073,95575.0,245162.267089,95575.0,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245162.267089,95575.0,245162.267089,94382.663044,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,245054.905766,104225.0,245054.905766,107500.108772,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,244934.905766,104075.0,244934.905766,107390.108772,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245174.905766,104375.0,245174.905766,107610.108772,25,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245144.905766,107610.108772,244102.431169,107610.108772,25,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,231739.268171,93764.855531,231739.268171,92932.653116,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,231589.268171,93826.830257,231589.268171,93273.391519,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,231589.268171,93273.391519,231589.268171,92782.653116,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,231889.268171,93826.830257,231889.268171,93082.653116,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,232825.71054,93724.116394,232825.71054,93082.653116,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,229207.45645,94817.346884,231739.268171,94817.346884,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,231739.268171,94817.346884,234253.603596,94817.346884,32,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,229207.45645,94967.346884,231589.268171,94967.346884,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,231589.268171,94967.346884,234403.603596,94967.346884,25,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,229207.45645,94667.346884,231889.268171,94667.346884,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,231889.268171,94667.346884,234100.266018,94667.346884,32,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,231739.268171,93923.169743,231739.268171,94419.696327,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,231739.268171,94419.696327,231739.268171,94817.346884,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,231589.268171,93988.766598,231589.268171,94967.346884,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,231889.268171,93923.169743,231889.268171,94667.346884,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,232825.71054,94025.883606,232825.71054,94667.346884,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,234250.266018,92932.653116,234250.266018,93876.668789,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,234250.266018,93876.668789,234250.266018,94820.684463,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,234400.266018,92782.653116,234400.266018,93726.668789,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,234400.266018,93726.668789,234400.266018,94970.684463,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234100.266018,93082.653116,234100.266018,94026.668789,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234100.266018,94026.668789,234100.266018,94667.346884,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,234250.266018,93876.668789,236475.0,93876.668789,40,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,234400.266018,93726.668789,236625.0,93726.668789,32,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234100.266018,94026.668789,236321.662421,94026.668789,50,branch,non-critical
