ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-2, T3,SHT-TNOR-SI-,241309.251014,60923.862455,241309.251014,61979.641617,20,error,critical
ZON-2, T4,SHT-TNOR-SR-,241509.251014,60723.862455,241509.251014,61829.641617,0,error,critical
ZON-2, B1,SHT-TNOR-SO-,241109.251014,61123.862455,241109.251014,62129.641617,20,error,critical
ZON-5, T3,SHT-TNOR-SI-,202426.253814,60923.862455,225478.169431,60923.862455,125,main,critical
ZON-2, T3,SHT-TNOR-SI-,225478.169431,60923.862455,227391.474246,60923.862455,110,main,critical
ZON-2, T3,SHT-TNOR-SI-,228135.876682,60923.862455,239991.269009,60923.862455,75,error,critical
ZON-2, T3,SHT-TNOR-SI-,240580.27864,60923.862455,241309.251014,60923.862455,20,error,critical
ZON-5, T4,SHT-TNOR-SR-,202626.253814,60723.862455,225328.169431,60723.862455,110,main,critical
ZON-2, T4,SHT-TNOR-SR-,225328.169431,60723.862455,227391.474246,60723.862455,90,main,critical
ZON-2, T4,SHT-TNOR-SR-,227985.876682,60723.862455,239991.269009,60723.862455,63,error,critical
ZON-2, T4,SHT-TNOR-SR-,240580.27864,60723.862455,241509.251014,60723.862455,0,error,critical
ZON-5, B1,SHT-TNOR-SO-,202226.253814,61123.862455,225628.169431,61123.862455,160,main,critical
ZON-2, B1,SHT-TNOR-SO-,225628.169431,61123.862455,227391.474246,61123.862455,160,main,critical
ZON-2, B1,SHT-TNOR-SO-,227930.483877,61123.862455,228285.876682,61123.862455,20,main,critical
ZON-2, B1,SHT-TNOR-SO-,228285.876682,61123.862455,239991.269009,61123.862455,110,main,critical
ZON-2, B1,SHT-TNOR-SO-,240580.27864,61123.862455,241109.251014,61123.862455,20,error,critical
ZON-2, T3,SHT-TNOR-SI-,243426.044521,64447.002802,244163.002007,64447.002802,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,243418.044521,64297.002802,243963.002007,64297.002802,0,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,243426.044521,64597.002802,244363.002007,64597.002802,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,244163.002007,61979.641617,244163.002007,64447.002802,32,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-,243963.002007,61829.641617,243963.002007,64297.002802,25,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-,244363.002007,62129.641617,244363.002007,64597.002802,32,branch,non-critical
