ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-4,110677.864315,157025.257471,112172.26234,157025.257471,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,244245.0,22450.0,243977.403072,22450.0,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,110421.014981,154726.55934,110738.211726,154726.55934,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,237925.0,23970.0,237925.0,22839.536269,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,109674.742508,161019.262039,109674.742508,161876.667189,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,240325.0,21570.0,240325.0,21312.471486,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,107924.742508,161019.262039,107924.742508,161901.667189,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,245125.0,19730.0,245125.0,20305.551077,250,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,114659.728294,164297.419865,113034.76234,164297.419865,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,240325.0,19730.0,240325.0,20105.551077,250,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,113631.026648,163550.0,111576.775011,163550.0,125,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,243693.707379,24842.348734,244524.651386,24842.348734,250,250,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,99633.678606,163445.881048,99633.678606,162300.000399,125,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,235340.0,32592.623016,235340.0,31677.131466,300,250,HVAC-S-FCU-S-KNL,main,critical
ZON-4,107629.176609,164224.997885,108067.170078,164224.997885,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,235340.0,33103.623016,235340.0,33995.448877,300,250,HVAC-R-FCU-R-KNL,main,critical
ZON-4,108177.170078,164114.997885,108177.170078,162924.9996,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,237585.496522,34000.0,237585.496522,34304.392803,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,104133.342845,172841.957503,104133.342845,173425.81968,125,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,246024.987897,26995.0,246024.987897,26410.00608,150,150,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,105627.35172,172385.909275,105627.35172,174999.150001,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,244293.394397,26516.780237,244093.394397,26516.780237,300,250,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,99276.650283,175261.650001,98874.907449,175261.650001,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,237075.0,26028.044263,234641.725407,26028.044263,300,250,HVAC-R-AHU-B1-01-R-KNL,downbranch,critical
ZON-4,99846.664011,174199.742508,100711.561469,174199.742508,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,239219.292962,29367.105872,235924.77953,29367.105872,200,150,HVAC-S-AHU-B1-01-S-KNL,main,critical
ZON-4,105206.12698,174224.027027,105356.994913,174224.027027,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,240975.000968,30564.511284,240975.000968,29915.432966,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,105466.994913,174369.19507,105466.994913,174911.650001,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
