ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-1,42364.79545,124204.171912,39713.059677,124204.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,critical
ZON-1,31088.059677,124724.08432,31088.059677,124454.171912,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,39263.059677,124204.171912,34286.940323,124204.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,critical
ZON-1,34136.940323,124204.171912,31413.059677,124204.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,non-critical
ZON-1,34211.940323,124054.171912,34211.940323,124354.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,31263.059677,124204.171912,26555.043968,124204.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,non-critical
ZON-1,26205.043968,118235.0,26205.043968,124029.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,non-critical
ZON-1,26405.043968,124229.171912,23869.432521,124229.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,non-critical
ZON-1,23521.932521,124501.671912,23521.932521,126466.38143,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,36159.471027,119350.0,36159.471027,122200.0,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,36890.528973,119350.0,36890.528973,122200.0,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,36159.471027,127050.0,36159.471027,122725.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,36890.528973,127050.0,36890.528973,122725.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,28889.060982,127050.0,28889.060982,122725.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,42757.94908,115778.381519,42757.94908,117724.891407,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,17605.0,115949.948512,19704.73349,115949.948512,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,23971.934852,118149.948512,25672.600534,118149.948512,900,550,HVAC-R-AHU-4-R-KNL,downbranch,critical
ZON-1,20569.999998,118149.94851,20154.73349,118149.94851,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,18330.0,117300.0,18998.575291,117300.0,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,18330.0,119474.948512,18998.575291,119474.948512,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,42141.521356,129617.654794,42141.521356,122725.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,critical
ZON-1,42757.94908,126631.629755,42757.94908,128169.081901,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,21736.362734,130101.415212,25377.5,130101.415212,150,150,HVAC-S-AHU-4-S-KNL,top,critical
ZON-1,24870.0,129600.0,22398.402411,129600.0,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,22198.402411,130075.0,22198.402411,130914.77422,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,20155.0,129600.0,21998.402411,129600.0,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,27657.447958,124700.0,27657.447958,123975.0,900,550,HVAC-R-AHU-4-R-KNL,downbranch,critical
ZON-1,46299.742508,126694.999979,46299.742508,126441.629755,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,42982.94908,126306.629755,46164.742508,126306.629755,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,43332.94908,123825.0,46170.0,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,43786.854653,122600.0,44070.196199,122600.0,200,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,45445.0,119792.366227,42957.94908,119792.366227,900,550,HVAC-R-AHU-4-R-KNL,downbranch,non-critical
ZON-1,43669.473774,116736.272333,45617.643375,116736.272333,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,42932.94908,118049.891407,46040.000003,118049.891407,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,25634.221,123200.0,26042.977786,123200.0,200,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,5237.5,123902.544953,5237.5,124115.034738,200,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,40442.977786,123200.343294,40088.544982,123200.343294,200,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,23837.5,121404.977786,23837.5,122100.0,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,43444.473774,122275.0,43444.473774,116561.272333,250,150,HVAC-S-AHU-4-S-KNL,top,critical
