pX,pY,Size,System
237392.731037,132217.795449,90,-M- SIPHONIC STORM WATER DN
240560.803129,126100.0,50,-M- SIPHONIC STORM WATER DN
240172.616883,128885.465767,90,-M- SIPHONIC STORM WATER DN
235257.501879,131275.370876,75,-M- SIPHONIC STORM WATER DN
259973.18113,66630.123005,75,-M- SIPHONIC STORM WATER DN
260314.41763,65310.0,75,-M- SIPHONIC STORM WATER DN
263686.84694,73538.073357,75,-M- SIPHONIC STORM WATER DN
273658.669942,73538.073357,75,-M- SIPHONIC STORM WATER DN
276448.356641,73538.073357,90,-M- SIPHONIC STORM WATER DN
280229.758381,73538.073357,90,-M- SIPHONIC STORM WATER DN
283462.192388,65530.194948,56,-M- SIPHONIC STORM WATER DN
283462.192388,72026.720475,56,-M- SIPHONIC STORM WATER DN
286375.318004,73538.073357,90,-M- SIPHONIC STORM WATER DN
288258.637922,73538.073357,90,-M- SIPHONIC STORM WATER DN
291591.615242,73538.073357,90,-M- SIPHONIC STORM WATER DN
297539.207724,73538.073357,110,-M- SIPHONIC STORM WATER DN
300515.852734,70626.48025,110,-M- SIPHONIC STORM WATER DN
299541.712752,66873.128874,110,-M- SIPHONIC STORM WATER DN
249200.448886,60851.785937,50,-M- SIPHONIC STORM WATER DN
240832.382205,57113.033946,50,-M- SIPHONIC STORM WATER DN
241918.703192,58852.033293,50,-M- SIPHONIC STORM WATER DN
236766.706169,53542.325737,50,-M- SIPHONIC STORM WATER DN
244834.000034,54019.477407,50,-M- SIPHONIC STORM WATER DN
248614.999996,53376.461071,50,-M- SIPHONIC STORM WATER DN
240238.074254,53618.247581,90,-M- SIPHONIC STORM WATER DN
240238.074254,48854.803517,110,-M- SIPHONIC STORM WATER DN
241187.571918,36094.25849,56,-M- SIPHONIC STORM WATER DN
241890.916594,35990.913725,56,-M- SIPHONIC STORM WATER DN
241787.571859,43426.319488,63,-M- SIPHONIC STORM WATER DN
241220.485907,43020.961756,75,-M- SIPHONIC STORM WATER DN
